date,index,close_gt_sma50,close_gt_sma200
2014-07-11,23233.449219,70.21276595744679,44.680851063829785
2014-07-14,23346.669922,72.3404255319149,51.06382978723404
2014-07-15,23459.960938,72.3404255319149,51.06382978723404
2014-07-16,23523.279297,72.3404255319149,53.19148936170214
2014-07-17,23520.869141,76.59574468085106,55.319148936170215
2014-07-18,23454.789063,72.3404255319149,48.93617021276596
2014-07-21,23387.140625,68.08510638297872,48.93617021276596
2014-07-22,23782.109375,87.23404255319151,68.08510638297872
2014-07-23,23971.869141,91.48936170212765,72.3404255319149
2014-07-24,24141.5,97.87234042553192,78.72340425531915
2014-07-25,24216.009766,91.48936170212765,72.3404255319149
2014-07-28,24428.630859,91.48936170212765,78.72340425531915
2014-07-29,24640.529297,89.36170212765957,82.97872340425532
2014-07-30,24732.210938,100.0,87.23404255319151
2014-07-31,24756.849609,97.87234042553192,91.48936170212765
2014-08-01,24532.429688,95.74468085106385,85.1063829787234
2014-08-04,24600.080078,97.87234042553192,85.1063829787234
2014-08-05,24648.259766,91.48936170212765,85.1063829787234
2014-08-06,24584.130859,95.74468085106385,82.97872340425532
2014-08-07,24387.560547,93.61702127659576,82.97872340425532
2014-08-08,24331.410156,93.61702127659576,80.85106382978722
2014-08-11,24646.019531,93.61702127659576,87.23404255319151
2014-08-12,24689.410156,93.61702127659576,85.1063829787234
2014-08-13,24890.339844,93.61702127659576,89.36170212765957
2014-08-14,24801.359375,93.61702127659576,80.85106382978722
2014-08-15,24954.939453,93.61702127659576,85.1063829787234
2014-08-18,24955.460938,93.61702127659576,82.97872340425532
2014-08-19,25122.949219,95.74468085106385,85.1063829787234
2014-08-20,25159.759766,97.87234042553192,87.23404255319151
2014-08-21,24994.099609,95.74468085106385,82.97872340425532
2014-08-22,25112.230469,93.61702127659576,85.1063829787234
2014-08-25,25166.910156,91.48936170212765,82.97872340425532
2014-08-26,25074.5,89.36170212765957,80.85106382978722
2014-08-27,24918.75,87.23404255319151,82.97872340425532
2014-08-28,24741.0,74.46808510638297,78.72340425531915
2014-08-29,24742.060547,72.3404255319149,76.59574468085106
2014-09-01,24752.089844,68.08510638297872,76.59574468085106
2014-09-02,24749.019531,68.08510638297872,80.85106382978722
2014-09-03,25317.949219,82.97872340425532,82.97872340425532
2014-09-04,25297.919922,82.97872340425532,82.97872340425532
2014-09-05,25240.150391,76.59574468085106,82.97872340425532
2014-09-08,25190.449219,78.72340425531915,80.85106382978722
2014-09-10,24705.359375,68.08510638297872,78.72340425531915
2014-09-11,24662.640625,65.95744680851064,78.72340425531915
2014-09-12,24595.320313,55.319148936170215,78.72340425531915
2014-09-15,24356.990234,42.5531914893617,74.46808510638297
2014-09-16,24136.009766,38.29787234042553,76.59574468085106
2014-09-17,24376.410156,51.06382978723404,76.59574468085106
2014-09-18,24168.720703,34.04255319148936,76.59574468085106
2014-09-19,24306.160156,29.78723404255319,76.59574468085106
2014-09-22,23955.490234,23.40425531914893,68.08510638297872
2014-09-23,23837.070313,21.27659574468085,65.95744680851064
2014-09-24,23921.609375,21.27659574468085,70.21276595744679
2014-09-25,23768.130859,19.148936170212764,70.21276595744679
2014-09-26,23678.410156,14.893617021276595,65.95744680851064
2014-09-29,23229.210938,4.25531914893617,46.80851063829788
2014-09-30,22932.980469,2.127659574468085,40.42553191489361
2014-10-03,23064.560547,6.382978723404255,40.42553191489361
2014-10-06,23315.039063,6.382978723404255,48.93617021276596
2014-10-07,23422.519531,10.638297872340424,57.44680851063831
2014-10-08,23263.330078,4.25531914893617,53.19148936170214
2014-10-09,23534.529297,10.638297872340424,61.70212765957447
2014-10-10,23088.539063,2.127659574468085,44.680851063829785
2014-10-13,23143.380859,6.382978723404255,46.80851063829788
2014-10-14,23047.970703,6.382978723404255,46.80851063829788
2014-10-15,23140.050781,10.638297872340424,53.19148936170214
2014-10-16,22900.939453,8.51063829787234,42.5531914893617
2014-10-17,23023.210938,6.382978723404255,48.93617021276596
2014-10-20,23070.259766,8.51063829787234,46.80851063829788
2014-10-21,23088.580078,8.51063829787234,51.06382978723404
2014-10-22,23403.970703,12.76595744680851,59.57446808510638
2014-10-23,23333.179688,12.76595744680851,59.57446808510638
2014-10-24,23302.199219,8.51063829787234,57.44680851063831
2014-10-27,23143.230469,4.25531914893617,55.319148936170215
2014-10-28,23520.359375,23.40425531914893,61.70212765957447
2014-10-29,23819.869141,40.42553191489361,65.95744680851064
2014-10-30,23702.039063,36.17021276595745,65.95744680851064
